City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,extrema,-22.8547,-46.3183,16.52,89,66,2.26,BR,2023-09-29 23:27:15
165,sanok,49.5557,22.2056,14.13,70,1,2.36,PL,2023-09-29 23:27:16
166,ancud,-41.8697,-73.8203,8.56,78,0,0.84,CL,2023-09-29 23:27:16
167,wailua homesteads,22.0669,-159.378,28.4,71,40,6.17,US,2023-09-29 23:27:16
168,midvagur,62.0511,-7.1939,9.46,87,75,10.8,FO,2023-09-29 23:27:16
169,hithadhoo,-0.6,73.0833,27.93,77,4,6.77,MV,2023-09-29 23:27:16
170,the pas,53.8251,-101.2541,14.01,72,75,1.03,CA,2023-09-29 23:27:16
171,port sudan,19.6175,37.2164,29.89,75,53,2.54,SD,2023-09-29 23:27:17
172,chonchi,-42.6128,-73.8092,10.56,88,7,0.5,CL,2023-09-29 23:27:17
173,villa union,23.2,-106.2333,33.28,70,40,5.66,MX,2023-09-29 23:27:17
174,gamba,-2.65,10.0,24.67,85,99,2.37,GA,2023-09-29 23:27:17
175,king's lynn,52.7517,0.3952,12.22,87,40,1.54,GB,2023-09-29 23:27:17
176,port alfred,-33.5906,26.891,16.77,83,89,3.1,ZA,2023-09-29 23:24:30
177,kirakira,-10.4544,161.9205,27.03,84,100,5.81,SB,2023-09-29 23:27:17
178,qaqortoq,60.7167,-46.0333,3.17,68,3,1.69,GL,2023-09-29 23:27:18
179,itaguacu,-19.8019,-40.8556,21.49,76,100,1.84,BR,2023-09-29 23:27:18
180,pavlovka,52.6897,47.1405,10.95,77,69,2.64,RU,2023-09-29 23:27:18
181,tefe,-3.3542,-64.7114,32.06,66,20,1.54,BR,2023-09-29 23:27:18
182,kodinsk,58.6881,99.1844,7.52,84,95,4.05,RU,2023-09-29 23:27:18
183,forster,-32.1667,152.5167,24.6,54,0,2.5,AU,2023-09-29 23:27:18
184,ape,57.5393,26.6929,15.4,74,100,3.05,LV,2023-09-29 23:27:18
185,tralee,52.2704,-9.7026,10.6,91,100,1.63,IE,2023-09-29 23:27:19
186,bossangoa,6.4926,17.4552,21.65,98,47,1.26,CF,2023-09-29 23:27:19
187,puerto ayora,-0.7393,-90.3518,23.64,89,45,2.24,EC,2023-09-29 23:26:51
188,happy valley-goose bay,53.3168,-60.3315,13.17,62,75,2.06,CA,2023-09-29 23:27:19
189,cadale,2.7603,46.3222,26.1,85,13,7.07,SO,2023-09-29 23:27:19
190,carolina,18.3808,-65.9574,30.94,82,40,5.66,PR,2023-09-29 23:27:19
191,kupang,-10.1667,123.5833,27.32,69,20,3.09,ID,2023-09-29 23:27:19
192,laguna,38.421,-121.4238,26.24,61,0,6.69,US,2023-09-29 23:27:20
193,port macquarie,-31.4333,152.9167,23.83,61,0,3.35,AU,2023-09-29 23:27:20
194,hanover,52.3705,9.7332,15.04,92,75,3.09,DE,2023-09-29 23:22:31
195,luderitz,-26.6481,15.1594,14.29,74,4,3.26,,2023-09-29 23:27:20
196,santa elena de uairen,4.6167,-61.1333,24.86,60,93,0.52,VE,2023-09-29 23:27:20
197,brisas de zicatela,15.8369,-97.0419,31.29,51,20,1.54,MX,2023-09-29 23:27:20
198,pangkalanbuun,-2.6833,111.6167,23.58,90,98,0.81,ID,2023-09-29 23:27:21
199,mawu,29.5923,107.3139,19.77,97,100,0.24,CN,2023-09-29 23:27:21
200,pisco,-13.7,-76.2167,19.03,82,0,6.17,PE,2023-09-29 23:24:27
201,nagqu,31.5,92.0,0.94,90,74,1.68,CN,2023-09-29 23:27:21
202,enewetak,11.3474,162.3373,28.9,76,86,6.09,MH,2023-09-29 23:27:21
203,flying fish cove,-10.4217,105.6791,23.82,94,100,3.6,CX,2023-09-29 23:27:21
204,half moon,34.826,-77.4594,21.99,83,100,4.63,US,2023-09-29 23:27:22
205,cedeira,43.6797,-8.0209,17.99,75,8,3.37,ES,2023-09-29 23:27:22
206,ust-nera,64.5667,143.2,-3.15,77,16,1.57,RU,2023-09-29 23:27:22
207,ulsteinvik,62.3432,5.8487,13.75,85,96,3.13,NO,2023-09-29 23:27:22
208,katabu,-4.9333,122.5167,25.62,75,22,2.04,ID,2023-09-29 23:27:22
209,harnai,30.1005,67.9374,20.66,13,0,2.76,PK,2023-09-29 23:27:22
210,yaren,-0.5472,166.916,28.72,76,100,5.22,NR,2023-09-29 23:27:23
211,port elizabeth,-33.918,25.5701,16.84,74,0,2.06,ZA,2023-09-29 23:27:23
212,panorama,40.5878,23.0315,21.61,57,20,2.68,GR,2023-09-29 23:27:23
213,sinabang,2.4803,96.3801,26.2,84,96,3.28,ID,2023-09-29 23:27:23
214,mendi,-6.1761,143.6513,16.73,88,77,0.87,PG,2023-09-29 23:27:23
215,jamestown,42.097,-79.2353,18.8,78,0,2.57,US,2023-09-29 23:23:20
216,east ballina,-28.8667,153.5833,24.33,66,9,3.5,AU,2023-09-29 23:27:23
217,lefkada,38.8275,20.7019,18.95,82,40,2.06,GR,2023-09-29 23:27:24
218,ola,59.5833,151.2833,6.59,85,100,1.74,RU,2023-09-29 23:27:24
219,mana,5.6592,-53.7767,27.5,79,46,6.23,GF,2023-09-29 23:27:24
220,fauske,67.2588,15.3918,11.02,96,98,1.0,NO,2023-09-29 23:27:24
221,carutapera,-1.195,-46.02,26.3,80,21,4.34,BR,2023-09-29 23:27:24
222,new norfolk,-42.7826,147.0587,17.06,48,97,3.08,AU,2023-09-29 23:27:24
223,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,70,0,2.0,RU,2023-09-29 23:27:25
224,la passe,45.5549,-0.8967,20.13,91,96,1.95,FR,2023-09-29 23:27:25
225,santa ana,33.7456,-117.8678,26.36,65,75,5.14,US,2023-09-29 23:26:38
226,ajuchitlan del progreso,18.1519,-100.4835,31.72,67,9,0.67,MX,2023-09-29 23:27:25
227,vila do maio,15.1333,-23.2167,26.44,79,83,2.58,CV,2023-09-29 23:27:25
228,tsetserleg,47.475,101.4542,0.02,60,27,1.93,MN,2023-09-29 23:27:26
229,nizhniy lomov,53.5304,43.6766,13.21,84,88,0.73,RU,2023-09-29 23:27:26
230,lerwick,60.1545,-1.1494,12.0,88,64,11.48,GB,2023-09-29 23:27:26
231,weno,7.4515,151.8468,28.97,89,100,5.14,FM,2023-09-29 23:27:26
232,kavaratti,10.5669,72.642,27.5,82,81,8.1,IN,2023-09-29 23:27:26
233,thompson,55.7435,-97.8558,13.09,71,75,1.54,CA,2023-09-29 23:26:00
234,punta del este,-34.9667,-54.95,13.06,83,75,7.2,UY,2023-09-29 23:27:26
235,pubal,37.2917,127.5078,18.69,100,75,0.51,KR,2023-09-29 23:27:27
236,terenozek,45.05,64.9833,15.09,41,100,2.75,KZ,2023-09-29 23:27:27
237,sarmiento,-45.5882,-69.07,15.02,37,7,2.94,AR,2023-09-29 23:27:27
238,harper,4.375,-7.7169,25.37,85,80,2.3,LR,2023-09-29 23:27:27
239,katsuura,35.1333,140.3,25.7,79,71,1.46,JP,2023-09-29 23:27:27
240,georgetown,5.4112,100.3354,27.75,95,20,0.51,MY,2023-09-29 23:24:22
241,medina,24.4686,39.6142,35.24,11,20,2.06,SA,2023-09-29 23:27:28
242,hadibu,12.65,54.0333,26.55,83,96,2.22,YE,2023-09-29 23:27:28
243,chiriguana,9.3624,-73.6031,30.54,64,85,0.42,CO,2023-09-29 23:27:28
244,torit,4.4133,32.5678,23.97,74,43,1.63,SS,2023-09-29 23:27:28
245,smithers,54.7804,-127.1743,11.18,62,40,4.12,CA,2023-09-29 23:27:28
246,kandalaksha,67.162,32.4123,9.95,99,100,1.34,RU,2023-09-29 23:27:28
247,ilebo,-4.3167,20.5833,22.06,91,62,0.37,CD,2023-09-29 23:27:28
248,guanare,9.0418,-69.7421,27.45,79,77,0.88,VE,2023-09-29 23:27:29
249,jamaame,0.0697,42.745,24.74,88,12,3.95,SO,2023-09-29 23:27:29
250,geraldton,-28.7667,114.6,12.23,87,40,4.12,AU,2023-09-29 23:27:29
251,serov,59.6033,60.5787,3.95,91,100,3.6,RU,2023-09-29 23:27:29
